chr	start	end	strand	pvalue	qvalue	meth.diff
chr1	906001	907000	*	1	0	22.8637927545031
chr1	909001	910000	*	1	0	10.2835545922
chr1	928001	929000	*	1	0	-11.1123553564763
chr1	929001	930000	*	1	0	-26.0479323308271
chr1	936001	937000	*	1	0	-21.4045443005839
chr1	975001	976000	*	1	0	-14.4347301778716
chr1	1015001	1016000	*	1	0	13.5171827952096
chr1	1024001	1025000	*	1	0	-18.8298891721357
chr1	1036001	1037000	*	1	0	-12.156862745098
chr1	1041001	1042000	*	1	0	-25.8356131032848
chr1	1056001	1057000	*	1	0	-11.2719259060722
chr1	1060001	1061000	*	1	0	14.8363636363636
chr1	1071001	1072000	*	1	0	-13.4561403508772
chr1	1110001	1111000	*	1	0	-20.2425974025974
chr1	1119001	1120000	*	1	0	-14.4155844155844
chr1	1141001	1142000	*	1	0	14.5663092323783
chr1	1143001	1144000	*	1	0	15.7022918084865
chr1	1161001	1162000	*	1	0	-13.1221147604961
chr1	1173001	1174000	*	1	0	14.3646790008065
chr1	1174001	1175000	*	1	0	19.4879304830885
chr1	1176001	1177000	*	1	0	-19.5711265478707
chr1	1182001	1183000	*	1	0	13.5716288197365
chr1	1212001	1213000	*	1	0	27.3572214748685
chr1	1213001	1214000	*	1	0	27.3177175061641
chr1	1240001	1241000	*	1	0	-10.2920019781504
chr1	1245001	1246000	*	1	0	-13.3786848072562
chr1	1286001	1287000	*	1	0	17.1292106586224
chr1	1291001	1292000	*	1	0	-21.4673457127548
chr1	1313001	1314000	*	1	0	16.2012411347518
chr1	1325001	1326000	*	1	0	14.6164441618987
chr1	1355001	1356000	*	1	0	13.8138486909568
chr1	1357001	1358000	*	1	0	-17.6959182243773
chr1	1433001	1434000	*	1	0	15.4173559933825
chr1	1437001	1438000	*	1	0	14.3661107131894
chr1	1441001	1442000	*	0.9999999211346	0	13.0225201476237
chr1	1523001	1524000	*	1	0	-32.8634716069271
chr1	1528001	1529000	*	1	0	-11.1824505082932
chr1	1604001	1605000	*	1	0	-12.0967741935484
chr1	1693001	1694000	*	1	0	10.5568704122933
chr1	1759001	1760000	*	1	0	-11.4152431913288
chr1	1760001	1761000	*	1	0	-12.3809523809524
chr1	1781001	1782000	*	1	0	-17.9775280898876
chr1	1888001	1889000	*	1	0	12.7764127764128
chr1	1965001	1966000	*	1	0	10.5779133500908
chr1	1983001	1984000	*	1	0	-14.2094972067039
chr1	1984001	1985000	*	1	0	28.3485316043133
