chr	start	end	strand	pvalue	qvalue	meth.diff
chr1	906001	907000	*	8.37299366800798e-07	0.000226446505123941	22.8637927545031
chr1	928001	929000	*	0.000752310753847799	0.0481450475974319	-11.1123553564763
chr1	1325001	1326000	*	7.14555936075513e-49	2.86011046068276e-44	14.6164441618987
chr1	1965001	1966000	*	4.62191817957191e-06	0.00107870999706842	10.5779133500908
chr1	2234001	2235000	*	2.1060343967342e-16	3.74653260829653e-13	36.7067343586681
chr1	2289001	2290000	*	0.000165562736428098	0.0195771964026764	11.1399371069182
chr1	2384001	2385000	*	3.04983699293385e-05	0.0054255114549574	-14.6646859083192
chr1	2973001	2974000	*	0.000683342550538058	0.0453594444872911	28.1340834505392
chr1	3201001	3202000	*	0.000214729829754907	0.022588338831267	13.0075429305088
chr1	6095001	6096000	*	0.000237102684707415	0.0242410417807498	-10.1918699186992
chr1	6207001	6208000	*	2.7381586044664e-05	0.00498175648314005	34.1815097540288
chr1	6443001	6444000	*	1.4561946305257e-05	0.00298886830528215	16.7669172932331
chr1	14733001	14734000	*	2.41078358917236e-06	0.000591993852725083	25.5297630514352
chr1	18684001	18685000	*	0.0002712402798322	0.0266275785882247	13.3137432188065
chr1	28281001	28282000	*	0.000142293034475629	0.0175515515872317	20.0072081812858
chr1	30807001	30808000	*	0.000362327921166358	0.0313571540923769	17.2028402622569
chr1	51297001	51298000	*	0.000663819041697673	0.0447688107374977	13.6322079638707
chr1	54454001	54455000	*	1.36755045757578e-09	6.36489850704277e-07	-22.0512820512821
chr1	89303001	89304000	*	1.56568001969701e-07	5.1447696918955e-05	-12.0733283083881
chr1	90850001	90851000	*	4.7956843730723e-13	4.36259091742826e-10	16.5643180349063
chr1	109114001	109115000	*	2.88537544392749e-11	1.79056129188995e-08	10.1141823173395
chr1	109273001	109274000	*	0.000103191697671558	0.0141210002892889	-13.0799880837119
chr1	116656001	116657000	*	2.44361930926193e-05	0.00457052774735752	-11.4503816793893
chr1	150066001	150067000	*	0.0004137711647264	0.034077719793431	10.2558416065834
chr1	151254001	151255000	*	5.14175315875904e-06	0.00117940337769922	20.9881058389518
chr1	161531001	161532000	*	0.000501538296196597	0.0377700366609611	16.2630392886641
chr1	230881001	230882000	*	0.000266195810451423	0.0263734184727512	17.4978436446326
chr1	236282001	236283000	*	9.17625183790133e-12	6.2785019425699e-09	20.7710613993337
chr1	237058001	237059000	*	0.000234744661258807	0.02409226835352	-19.3650793650794
chr2	3463001	3464000	*	0.0003408185353891	0.0304891496429182	-20.1151151151151
chr2	6773001	6774000	*	0.000712287356990143	0.0467381992520639	14.7030525671302
chr2	8488001	8489000	*	0.000116181630069357	0.0152469930073076	12.100421477002
chr2	30015001	30016000	*	0.000154200925087627	0.0185070720568559	10.6419987349779
chr2	41684001	41685000	*	0.000347348089662434	0.0306573207927036	13.6363636363636
chr2	46680001	46681000	*	0.000162417784700915	0.0192730064276824	14.2561393489435
chr2	65081001	65082000	*	0.00015145851463994	0.0182193363167896	15.2560137457045
chr2	85309001	85310000	*	0.000191387183766749	0.0211325261947668	10.1484480431849
chr2	86622001	86623000	*	0.00027618331039141	0.026831613521706	13.872624037971
chr2	113198001	113199000	*	0.000667564076011783	0.0449078813937926	-34.0634064539521
chr2	115523001	115524000	*	0.000497776533311738	0.0376995357505531	-27.7260273972603
chr2	127674001	127675000	*	0.000193773397906907	0.0213078360354501	21.6692071486955
chr2	128486001	128487000	*	0.000342806612928996	0.0304891496429182	-14.0313916187179
chr2	131104001	131105000	*	0.000178935113765009	0.0203469578425395	16.2081833933093
chr2	201805001	201806000	*	2.34809913668524e-05	0.00441248660900881	-11.3935574229692
chr2	208360001	208361000	*	0.000182003229478701	0.0205209430979518	31.4285714285714
chr2	219514001	219515000	*	0.00013415916404973	0.0168559546158071	15.8320928083774
chr2	230847001	230848000	*	0.00074745578874452	0.0479418420825333	57.8393387575875
chr2	232879001	232880000	*	1.80659312632353e-08	7.195166807049e-06	-21.128132768931
chr2	233054001	233055000	*	0.000158731917650229	0.0189091305654054	14.0307444118696
chr2	239459001	239460000	*	1.00169502204621e-09	4.94990736761519e-07	-16.3343169692092
chr2	240791001	240792000	*	6.03184411148401e-20	1.66505537596546e-16	-30.7912638739706
chr3	2506001	2507000	*	5.09803544517456e-07	0.000145235606078903	-20.2615182816855
chr3	14555001	14556000	*	3.16748842195419e-08	1.22495817749218e-05	-11.7318130932558
chr3	16883001	16884000	*	0.000412874103339003	0.034038858245245	14.1680339075745
chr3	53750001	53751000	*	2.68815003424096e-07	8.12052674654752e-05	14.30820804551
chr3	71417001	71418000	*	3.93776564236019e-05	0.00667858468718349	23.5231828152182
